;hash_id;name;price;latitude;longitude;category_main_cb;category_type_cb;category_sub_cb;type_of_flat;size_m
0;3345093964;Prodej bytu 2+kk 46 m²;9881000;50.00837939868943;14.411648601310574;1;1;4;2+kk;46.0
1;92719196;Prodej bytu 2+kk 45 m²;4629000;50.173338398689424;14.671482601310574;1;1;4;2+kk;45.0
2;904054092;Pronájem bytu 3+kk 86 m²;42000;50.07108139868943;14.457639601310573;1;2;6;-;-
3;3723789644;Prodej bytu 3+kk 58 m²;10092000;50.053614398689426;14.459289601310573;1;1;6;3+kk;58.0
4;3621979468;Pronájem bytu 2+1 43 m²;9000;49.593859398689425;18.144151601310575;1;2;5;-;-
5;1155728716;Prodej bytu 2+kk 35 m²;5167000;50.092325398689425;14.437526601310573;1;1;4;2+kk;35.0
6;1590527308;Pronájem bytu 1+kk 29 m²;19000;50.083086398689424;14.428958601310574;1;2;2;-;-
7;2967737676;Pronájem bytu 2+kk 47 m²;26000;50.063200398689425;14.403972601310574;1;2;4;-;-
8;508761932;Prodej bytu 1+kk 23 m²;4098000;50.08069839868943;14.380049601310574;1;1;2;1+kk;23.0
9;532944716;Prodej bytu 2+kk 50 m²;5905000;50.08069839868943;14.380049601310574;1;1;4;2+kk;50.0
10;2870719820;Prodej bytu 3+kk 70 m²;6919000;49.98147439868943;14.653169601310573;1;1;6;3+kk;70.0
11;1440941388;Pronájem bytu 3+kk 55 m² (Podkrovní);19000;50.073393398689426;14.379017601310574;1;2;6;-;-
12;1579357516;Pronájem bytu 3+kk 58 m²;27000;50.073393398689426;14.379017601310574;1;2;6;-;-
13;2169308492;Pronájem bytu 2+kk 63 m²;20000;50.10465839868942;14.398125601310573;1;2;4;-;-
14;4125295948;Pronájem bytu 2+kk 40 m²;15000;50.13443239868943;14.529702601310573;1;2;4;-;-
15;437454156;Pronájem bytu 2+kk 34 m²;12000;50.10915639868943;14.562590601310573;1;2;4;-;-
16;3121808716;Pronájem bytu 2+kk 42 m²;14000;50.060217398689424;14.462442601310574;1;2;4;-;-
17;2316502348;Pronájem bytu 2+kk 39 m²;11000;49.165114398689425;16.698420601310573;1;2;4;-;-
18;3658679628;Prodej bytu 1+1 22 m²;1590000;50.21902339868942;14.871023601310574;1;1;3;1+1;22.0
19;722666828;Prodej bytu 2+kk 617 m²;2966000;50.056482398689425;14.355892601310574;1;1;4;2+kk;617.0
20;2064844108;Pronájem bytu 2+kk 43 m² (Podkrovní);6000;49.097132398689425;14.371791601310575;1;2;4;-;-
21;2781529420;Prodej bytu 3+1 49 m²;4419000;50.06182339868943;14.686291601310574;1;1;7;3+1;49.0
22;2436638028;Prodej bytu 1+1 31 m²;4060000;50.094965398689425;14.556292601310574;1;1;3;1+1;31.0
23;2601715020;Pronájem bytu 1+1 34 m²;8000;50.09847839868942;14.569900601310573;1;2;3;-;-
24;3883464012;Prodej bytu 1+kk 20 m²;3415000;50.13969239868943;14.480119601310573;1;1;2;1+kk;20.0
25;1925330252;Pronájem bytu 2+kk 42 m²;15000;50.129969398689425;14.525427601310573;1;2;4;-;-
26;2090804556;Pronájem bytu 2+kk 43 m²;14000;50.03812639868943;14.424261601310574;1;2;4;-;-
27;911545676;Pronájem bytu 3+kk 46 m² (Jednopodlažní);0;49.21372439868943;15.883458601310574;1;2;6;-;-
28;135464268;Prodej bytu 2+1 57 m²;5016000;49.19225939868942;16.615803601310574;1;1;5;2+1;57.0
29;1477641548;Pronájem bytu 3+kk 61 m²;26000;50.082514398689426;14.437929601310573;1;2;6;-;-
30;4161996108;Prodej bytu 3+1 52 m²;5175000;50.12249639868943;14.483186601310575;1;1;7;3+1;52.0
31;1977103692;Pronájem bytu 2+kk 29 m²;7000;50.09984439868943;13.742254601310574;1;2;4;-;-
32;1762854220;Pronájem bytu 2+1 44 m²;8000;49.21951139868943;17.706584601310574;1;2;5;-;-
33;1676219724;Pronájem bytu 1+kk 19 m²;5000;49.93259339868943;17.909018601310574;1;2;2;-;-
34;3586794828;Prodej bytu 1+1 28 m²;1273000;50.679659398689424;14.007787601310573;1;1;3;1+1;28.0
35;1058211148;Prodej bytu 1+kk 20 m²;1051000;50.40241139868942;16.167411601310572;1;1;2;1+kk;20.0
36;3141801292;Prodej bytu 3+kk 55 m²;5963000;49.398386398689425;15.563651601310573;1;1;6;3+kk;55.0
37;4106626380;Prodej bytu 4+kk 105 m²;8679000;49.967871398689425;12.712551601310574;1;1;8;4+kk;105.0
38;4279436620;Pronájem bytu 2+1 51 m²;8000;49.70764839868943;16.262538601310574;1;2;5;-;-
39;394709084;Prodej bytu 3+kk 51 m²;5171000;50.173338398689424;14.671482601310574;1;1;6;3+kk;51.0
40;2224474204;Prodej bytu 1+kk 34 m²;3462000;50.173338398689424;14.671482601310574;1;1;2;1+kk;34.0
41;471008588;Prodej bytu 3+kk 55 m²;6926000;49.16728839868943;16.685437601310575;1;1;6;3+kk;55.0
42;3459003724;Prodej bytu 2+kk 33 m²;3105000;50.16771939868943;14.559429601310574;1;1;4;2+kk;33.0
43;1769252172;Prodej bytu 2+1 66 m²;2699000;50.28723739868943;15.856334601310573;1;1;5;2+1;66.0
44;2693633356;Prodej bytu 3+kk 66 m²;4219000;50.20928039868943;15.843134601310574;1;1;6;3+kk;66.0
45;3528398156;Prodej bytu 3+1 50 m²;2985000;50.30892439868943;15.880739601310573;1;1;7;3+1;50.0
46;840107340;Pronájem bytu 3+1 54 m²;9000;49.463900398689425;17.119771601310575;1;2;7;-;-
47;34800972;Prodej bytu 3+kk 62 m²;7962000;49.13321539868942;16.673754601310574;1;1;6;3+kk;62.0
48;4061332812;Prodej bytu 2+kk 47 m²;3893000;48.99230439868943;14.457195601310573;1;1;4;2+kk;47.0
49;320013644;Prodej bytu 4+1 59 m²;3423000;48.74945739868943;16.896340601310573;1;1;9;4+1;59.0
50;2199061836;Pronájem bytu 1+1 30 m²;7000;49.585894398689426;17.258796601310575;1;2;3;-;-
51;3541239116;Prodej bytu 2+kk 39 m²;4212000;50.11533639868943;14.503617601310573;1;1;4;2+kk;39.0
52;4058305868;Pronájem bytu 4+kk 92 m²;51000;50.08580639868943;14.382375601310574;1;2;8;-;-
53;823330124;Pronájem bytu 2+1 35 m²;10000;49.56634039868943;17.265513601310573;1;2;5;-;-
54;18023756;Prodej bytu 2+kk 34 m²;3583000;50.025770398689424;14.518800601310573;1;1;4;2+kk;34.0
55;2979468620;Pronájem bytu 1+kk 29 m²;10000;50.104204398689426;14.521817601310573;1;2;2;-;-
56;1360201036;Prodej bytu 3+kk 75 m²;6282000;49.074446398689425;17.451529601310575;1;1;6;3+kk;75.0
57;2569004364;Prodej bytu 5+kk 139 m²;15845000;50.06545539868942;14.451000601310573;1;1;10;5+kk;139.0
58;2771191116;Pronájem bytu 3+1 82 m²;31000;50.06469939868943;14.444102601310574;1;2;7;-;-
59;2508424524;Pronájem bytu 3+1 82 m²;31000;50.06469939868943;14.444102601310574;1;2;7;-;-
60;2394121292;Prodej bytu 2+kk 55 m²;1736000;50.649447398689425;14.728782601310574;1;1;4;2+kk;55.0
61;1137730636;Prodej bytu 1+1 35 m²;875000;50.41596039868943;14.668948601310573;1;1;3;1+1;35.0
62;830637388;Prodej bytu 3+1 55 m²;2532000;48.85086339868943;17.140225601310572;1;1;7;3+1;55.0
63;646714700;Prodej bytu 3+1 52 m²;2468000;48.850630398689425;17.120887601310574;1;1;7;3+1;52.0
64;370345292;Pronájem bytu 2+1 54 m²;4000;49.603644398689426;16.698783601310573;1;2;5;-;-
65;3054699852;Pronájem bytu 2+kk 31 m²;12000;50.08162939868943;14.477016601310574;1;2;4;-;-
66;2249393484;Pronájem bytu 1+kk 26 m² (Jednopodlažní);7000;50.04806339868943;14.496897601310573;1;2;2;-;-
67;655557964;Prodej bytu 4+kk 118 m²;11068000;49.19427739868943;16.603793601310574;1;1;8;4+kk;118.0
68;1192428876;Pronájem bytu 2+kk 42 m²;15000;50.096018398689424;14.519705601310573;1;2;4;-;-
69;3555657036;Pronájem bytu 3+kk 71 m² (Mezonet);19000;50.06061839868943;14.424429601310575;1;2;6;-;-
70;1966605644;Pronájem bytu 2+kk 36 m²;11000;50.03963739868943;14.495832601310573;1;2;4;-;-
71;2860320076;Pronájem bytu 1+1 28 m²;10000;50.05154239868943;14.298304601310575;1;2;3;-;-
72;3876783436;Prodej bytu 3+1 65 m²;2221000;50.447527398689424;14.389333601310573;1;1;7;3+1;65.0
73;68355404;Prodej bytu 3+1 57 m² (Jednopodlažní);5653000;50.07270339868943;14.502403601310574;1;1;7;3+1;57.0
74;1410532684;Pronájem bytu 2+1 44 m² (Jednopodlažní);9000;49.21309139868943;15.905377601310574;1;2;5;-;-
75;1695745356;Pronájem bytu 1+1 30 m²;9000;50.23439239868943;12.840285601310574;1;2;3;-;-
76;3574793548;Pronájem bytu 2+kk 44 m²;9000;49.93239039868943;17.904269601310574;1;2;4;-;-
77;1241711948;Pronájem bytu 2+kk 67 m²;18000;50.07942039868943;14.459977601310573;1;2;4;-;-
