;hash_id;name;price;latitude;longitude;category_main_cb;category_type_cb;category_sub_cb;type_of_flat;size_m
13981;1033292;Prodej bytu 2+kk 69 m²;6879000;50.20870664018799;17.105014359812007;1;1;4;2+kk;69.0
13982;1279333708;Prodej bytu 4+1 119 m²;3206000;50.61756564018799;13.860811359812006;1;1;9;4+1;119.0
13983;734344524;Pronájem bytu 3+1 202 m²;26000;49.65253864018799;14.000213359812006;1;2;7;-;-
13984;3672061260;Pronájem bytu 2+kk 104 m²;32000;50.11157664018799;14.447061359812007;1;2;4;-;-
13985;3982103884;Pronájem bytu 1+kk 36 m²;21000;50.058975640187995;14.408480359812007;1;2;2;-;-
13986;280958284;Prodej bytu 2+kk 69 m²;7870000;50.051689640187995;14.749249359812007;1;1;4;2+kk;69.0
13987;2990609740;Prodej bytu 2+1 78 m²;2025000;49.850655640187995;18.570836359812006;1;1;5;2+1;78.0
13988;2185303372;Prodej bytu 4+kk 183 m²;9765000;50.210354640187994;12.894977359812007;1;1;8;4+kk;183.0
13989;3527480652;Prodej bytu 2+1 69 m²;1705000;50.54145864018799;13.792855359812007;1;1;5;2+1;69.0
13990;2470516044;Pronájem bytu 2+1 62 m²;12000;49.20926364018799;17.682824359812006;1;2;5;-;-
13991;332911948;Pronájem bytu 2+kk 49 m²;11000;49.57976964018799;17.378207359812006;1;2;4;-;-
13992;3812693324;Pronájem bytu 2+1 74 m²;14000;50.66733564018799;14.013545359812007;1;2;5;-;-
13993;4030797132;Pronájem bytu 3+1 119 m²;33000;50.006809640187996;14.504597359812006;1;2;7;-;-
13994;3225490764;Pronájem bytu 2+1 64 m²;16000;49.56462564018799;17.269097359812008;1;2;5;-;-
13995;2973832524;Pronájem bytu 2+kk 75 m²;14000;50.208229640187994;17.214398359812005;1;2;4;-;-
13996;3510703436;Prodej bytu 3+kk 128 m² (Mezonet);8635000;50.178940640187996;14.970554359812006;1;1;6;3+kk;128.0
13997;3850511436;Pronájem bytu 1+kk 58 m²;20000;49.73331464018799;13.334401359812007;1;2;2;-;-
13998;235938892;Pronájem bytu 1+kk 56 m²;20000;49.73331464018799;13.334401359812007;1;2;2;-;-
13999;1350706252;Pronájem bytu 2+kk 88 m²;27000;49.73331464018799;13.334401359812007;1;2;4;-;-
14000;2520847692;Pronájem bytu 5+kk 364 m²;109000;50.063484640187994;14.437840359812007;1;2;10;-;-
14001;1463883084;Pronájem bytu 2+kk 65 m²;24000;50.05269264018799;14.448367359812007;1;2;4;-;-
14002;3342931276;Pronájem bytu 1+1 49 m²;16000;50.17150964018799;15.850633359812006;1;2;3;-;-
14003;2218857804;Prodej bytu 2+kk 64 m²;5849000;50.178940640187996;14.970554359812006;1;1;4;2+kk;64.0
14004;463344972;Prodej bytu 2+1 106 m²;6267000;48.95161464018799;14.491483359812007;1;1;5;2+1;106.0
14005;3561035084;Pronájem bytu 2+kk 129 m²;56000;50.081425640187994;14.358796359812006;1;2;4;-;-
14006;175183180;Pronájem bytu 2+1 74 m²;36000;50.059662640187994;14.430244359812006;1;2;5;-;-
14007;4118865228;Prodej bytu 3+1 103 m²;3935000;49.427505640187995;14.376377359812007;1;1;7;3+1;103.0
14008;2339444044;Prodej bytu 1+kk 36 m²;6255000;50.040871640187994;14.306385359812007;1;1;2;1+kk;36.0
14009;1571071308;Prodej bytu 2+kk 94 m²;8220000;50.390953640187995;14.938047359812007;1;1;4;2+kk;94.0
14010;2772096332;Pronájem bytu 3+kk 110 m²;26000;49.52383464018799;18.222646359812007;1;2;6;-;-
14011;1809196364;Pronájem bytu 2+1 78 m²;21000;48.845707640187996;17.129720359812005;1;2;5;-;-
14012;3681621324;Pronájem bytu 4+1 154 m²;24000;50.75677964018799;15.065141359812007;1;2;9;-;-
14013;3899725132;Prodej bytu 3+1 103 m²;0;49.207241640187995;15.905297359812007;1;1;7;3+1;103.0
14014;2721633612;Pronájem bytu 1+kk 36 m²;27000;50.078365640188;14.391386359812007;1;2;2;-;-
14015;110417228;Prodej bytu 2+kk 49 m²;11587000;50.075897640187996;14.444303359812007;1;1;4;2+kk;49.0
14016;3731952972;Prodej bytu 3+1 104 m²;3789000;50.21172364018799;17.211343359812005;1;1;7;3+1;104.0
14017;2088166732;Prodej bytu 2+kk 64 m²;8275000;50.072807640187996;14.575735359812006;1;1;4;2+kk;64.0
14018;850335052;Prodej bytu 2+kk 85 m²;0;50.048199640187995;14.382760359812007;1;1;4;2+kk;85.0
14019;493950284;Pronájem bytu 3+1 126 m²;22000;49.22101264018799;17.674512359812006;1;2;7;-;-
14020;2372998476;Pronájem bytu 2+kk 51 m²;14000;50.758549640187994;14.211165359812007;1;2;4;-;-
14021;577836364;Pronájem bytu 2+1 78 m²;17000;49.83851264018799;18.565442359812007;1;2;5;-;-
14022;189216076;Prodej bytu 4+kk 182 m²;13977000;50.17465264018799;15.068309359812007;1;1;8;4+kk;182.0
14023;2065372492;Pronájem bytu 3+1 113 m²;20000;49.44459564018799;17.457690359812005;1;2;7;-;-
14024;1583736140;Prodej bytu 3+kk 171 m²;19956000;49.122925640187994;13.245723359812006;1;1;6;3+kk;171.0
14025;1399919948;Pronájem bytu 2+kk 78 m²;26000;49.71394364018799;13.421371359812007;1;2;4;-;-
14026;1986184524;Prodej bytu 2+1 72 m²;5391000;50.055550640187995;14.471540359812007;1;1;5;2+1;72.0
14027;889394508;Pronájem bytu 2+kk 97 m²;29000;49.98755364018799;14.430292359812007;1;2;4;-;-
14028;2717066572;Pronájem bytu 2+kk 80 m²;33000;50.025524640187996;14.471160359812007;1;2;4;-;-
14029;3782284620;Prodej bytu 3+1 100 m²;2332000;50.04926764018799;16.941958359812006;1;1;7;3+1;100.0
14030;1634464844;Pronájem  pokoje 21 m²;7000;50.04906564018799;14.488236359812007;1;2;47;-;-
14031;611390796;Pronájem bytu 2+1 88 m²;18000;49.674896640187995;14.040293359812006;1;2;5;-;-
14032;302826572;Prodej bytu 2+kk 80 m²;5815000;49.82709564018799;13.931841359812006;1;1;4;2+kk;80.0
14033;4117828940;Prodej podílu 4 443/1 871 338 bytu 3+1 131 m²;3775000;49.822048640187994;13.117169359812006;1;4;7;-;-
14034;1784747340;Pronájem bytu 1+kk 43 m²;18000;50.128910640187996;14.334729359812007;1;2;2;-;-
14035;109454668;Pronájem bytu 1+kk 58 m²;13000;49.52415864018799;18.319520359812007;1;2;2;-;-
14036;2128557388;Pronájem bytu 2+1 96 m²;27000;50.05130864018799;14.433601359812007;1;2;5;-;-
14037;3671659852;Pronájem bytu 1+1 55 m²;16000;49.655312640187994;18.368691359812008;1;2;3;-;-
14038;704304460;Prodej bytu 3+1 107 m²;4123000;49.73932364018799;12.553784359812006;1;1;7;3+1;107.0
14039;2942375244;Prodej bytu 2+kk 75 m²;8307000;49.16954464018799;16.635507359812006;1;1;4;2+kk;75.0
14040;845223244;Prodej bytu 3+1 110 m²;2184000;50.47247364018799;13.447952359812007;1;1;7;3+1;110.0
14041;2612712780;Pronájem bytu 3+1 97 m²;24000;49.347218640188;16.658549359812007;1;2;7;-;-
14042;3635090764;Prodej bytu 2+1 84 m²;3775000;50.34063764018799;16.160394359812006;1;1;5;2+1;84.0
14043;1245394252;Prodej bytu 2+kk 94 m²;5086000;48.95008864018799;14.487982359812007;1;1;4;2+kk;94.0
14044;2208781900;Prodej bytu 1+kk 46 m²;3410000;50.197647640187995;14.285083359812006;1;1;2;1+kk;46.0
14045;2535602524;Prodej bytu 1+kk 40 m²;3119000;50.197647640187995;14.285083359812006;1;1;2;1+kk;40.0
14046;431691084;Prodej bytu 2+kk 68 m²;9838000;50.089397640188;14.522716359812007;1;1;4;2+kk;68.0
14047;2634360140;Prodej bytu 3+kk 167 m²;13103000;50.016113640187996;14.376013359812006;1;1;6;3+kk;167.0
14048;3716879692;Prodej bytu 2+kk 71 m²;9984000;50.089397640188;14.522716359812007;1;1;4;2+kk;71.0
14049;660673868;Pronájem bytu 2+kk 61 m²;13000;50.68739364018799;14.553430359812007;1;2;4;-;-
14050;1514218828;Prodej bytu 3+kk 91 m²;8730000;49.94409964018799;14.077766359812006;1;1;6;3+kk;91.0
14051;2144396620;Pronájem bytu 2+kk 75 m²;32000;50.05664164018799;14.417665359812007;1;2;4;-;-
14052;2085631308;Pronájem bytu 2+kk 80 m²;21000;49.95574264018799;14.095452359812006;1;2;4;-;-
14053;73471308;Prodej bytu 3+1 103 m²;2521000;49.201244640187994;14.498336359812006;1;1;7;3+1;103.0
14054;1700861260;Pronájem bytu 2+kk 68 m²;26000;50.112286640187996;14.433565359812008;1;2;4;-;-
14055;2237732172;Prodej bytu 4+1 115 m²;989000;50.579311640187996;13.578720359812007;1;1;9;4+1;115.0
14056;999429452;Pronájem bytu 2+kk 74 m²;45000;50.093582640187996;14.466441359812007;1;2;4;-;-
14057;194123084;Pronájem bytu 3+kk 128 m²;18000;50.625030640187994;13.859206359812006;1;2;6;-;-
14058;1199428684;Prodej bytu 2+kk 87 m²;5320000;50.21927664018799;12.866454359812007;1;1;4;2+kk;87.0
14059;1417532492;Prodej bytu 2+kk 87 m²;5320000;50.21927664018799;12.866454359812007;1;1;4;2+kk;87.0
14060;2256393292;Prodej bytu 2+kk 87 m²;5728000;50.21927664018799;12.866454359812007;1;1;4;2+kk;87.0
14061;2131961164;Prodej bytu 1+kk 43 m²;2608000;49.38294264018799;15.604568359812006;1;1;2;1+kk;43.0
14062;154195020;Prodej bytu 2+kk 87 m²;5451000;50.21927664018799;12.866454359812007;1;1;4;2+kk;87.0
14063;1496372300;Prodej bytu 2+kk 87 m²;5451000;50.21927664018799;12.866454359812007;1;1;4;2+kk;87.0
14064;2335233100;Prodej bytu 2+kk 87 m²;5771000;50.21927664018799;12.866454359812007;1;1;4;2+kk;87.0
14065;2499859532;Prodej bytu 2+kk 87 m²;5596000;50.21927664018799;12.866454359812007;1;1;4;2+kk;87.0
14066;2553336908;Prodej bytu 2+kk 87 m²;5436000;50.21927664018799;12.866454359812007;1;1;4;2+kk;87.0
14067;244454732;Pronájem bytu 1+kk 36 m²;14000;49.18874764018799;16.613828359812008;1;2;2;-;-
14068;483202124;Prodej bytu 2+kk 88 m²;6063000;49.939896640187996;15.282278359812006;1;1;4;2+kk;88.0
