;code;name;category_main_cb;category_type_cb;category_sub_cb;rooms;size_meters;locality;latitude;longitude;price;timestamp
3378;3524191564;Prodej bytu 2+kk 39 m²;1;1;4;2+kk;39.0;brno-stare-brno-nove-sady;49.17998252613514;16.61204547386486;5440000;2024-04-12 17:49:45
3379;1000535372;Prodej bytu 1+kk 62 m²;1;1;2;1+kk;62.0;praha-radlice-od-vysoke;50.05425752613514;14.38693147386486;4458000;2024-04-12 17:49:45
3380;1358493004;Prodej bytu 3+kk 58 m²;1;1;6;3+kk;58.0;trutnov-stredni-predmesti-horska;50.55886952613514;15.91169947386486;3622000;2024-04-12 17:49:45
3381;3856602444;Prodej bytu 2+1 46 m²;1;1;5;2+1;46.0;praha-stare-mesto-naprstkova;50.07755052613514;14.42117147386486;0;2024-04-12 17:49:45
3382;487732556;Prodej bytu 3+kk 48 m²;1;1;6;3+kk;48.0;praha-zizkov-strazni;50.08475252613514;14.48855947386486;6888000;2024-04-12 17:49:45
3383;1716917580;Prodej bytu 3+kk 57 m²;1;1;6;3+kk;57.0;brno-zabrdovice-francouzska;49.19519152613514;16.627846473864864;5688000;2024-04-12 17:49:45
3384;3299263820;Prodej bytu 3+1 33 m²;1;1;7;3+1;33.0;horsovsky-tyn-velke-predmesti-csla;49.51693152613514;12.956397473864861;1027000;2024-04-12 17:49:45
3385;2344907852;Prodej bytu 2+1 31 m²;1;1;5;2+1;31.0;praha-stodulky-amforova;50.03550852613514;14.33401947386486;4330000;2024-04-12 17:49:45
3386;1242117452;Prodej bytu 3+kk 45 m²;1;1;6;3+kk;45.0;moravany-moravany-jablonova;49.146077526135144;16.59778247386486;5164000;2024-04-12 17:49:45
3387;1921717580;Prodej bytu 4+kk 59 m²;1;1;8;4+kk;59.0;praha-hloubetin-k-nahonu;50.096765526135144;14.53624747386486;8619000;2024-04-12 17:49:45
3388;1366099276;Prodej bytu 2+1 38 m²;1;1;5;2+1;38.0;brno-zabovresky-poznanska;49.21149252613514;16.586597473864863;4378000;2024-04-12 17:49:45
3389;376243532;Prodej bytu 3+1 51 m²;1;1;7;3+1;51.0;praha-modrany-levskeho;50.00145852613514;14.437900473864861;4999000;2024-04-12 17:49:45
3390;399619404;Prodej bytu 2+kk 24 m²;1;1;4;2+kk;24.0;praha-strasnice-pocernicka;50.07355252613514;14.49259547386486;4337000;2024-04-12 17:49:45
3391;697746508;Prodej bytu 2+kk 31 m²;1;1;4;2+kk;31.0;dobrichovice-dobrichovice-na-vyhlidce;49.91491452613514;14.28053547386486;2958000;2024-04-12 17:49:45
3392;3483841868;Prodej bytu 3+kk 71 m²;1;1;6;3+kk;71.0;jaromer-josefov-tyrsova;50.32893152613514;15.94116047386486;1579000;2024-04-12 17:49:45
3393;4049151308;Prodej bytu 3+kk 70 m²;1;1;6;3+kk;70.0;strazne--;50.66163052613514;15.62468747386486;0;2024-04-12 17:49:45
3394;3882681676;Prodej bytu 4+1 55 m²;1;1;9;4+1;55.0;ceska-trebova-parnik-u-stadionu;49.90371452613514;16.447327473864863;2151000;2024-04-12 17:49:45
3395;2506290508;Prodej bytu 3+kk 46 m²;1;1;6;3+kk;46.0;praha-letnany-rymarovska;50.12904852613514;14.51463547386486;5095000;2024-04-12 17:49:45
3396;4231013452;Prodej bytu 3+kk 53 m²;1;1;6;3+kk;53.0;praha-uhrineves-namesti-protifasistickych-bojovniku;50.022546526135145;14.60772147386486;6185000;2024-04-12 17:49:45
3397;3707660108;Prodej bytu 3+1 44 m²;1;1;7;3+1;44.0;praha-hloubetin-podebradska;50.09723452613514;14.53514247386486;5481000;2024-04-12 17:49:45
3398;1192109388;Prodej bytu 4+kk 64 m²;1;1;8;4+kk;64.0;praha-sterboholy-pod-arealem;50.061921526135144;14.55830747386486;8412000;2024-04-12 17:49:45
3399;2040399180;Prodej bytu 3+1 46 m²;1;1;7;3+1;46.0;brno-reckovice-zitna;49.232732526135145;16.59437447386486;4136000;2024-04-12 17:49:45
3400;467342668;Prodej bytu 5+kk 91 m²;1;1;10;5+kk;91.0;praha-hostavice-lucinkova;50.08552352613514;14.568395473864861;10308000;2024-04-12 17:49:45
3401;3216966988;Prodej bytu 3+kk 78 m²;1;1;6;3+kk;78.0;karlovy-vary-karlovy-vary-prazska-silnice;50.21419652613514;12.89680347386486;3792000;2024-04-12 17:49:45
3402;1490191692;Prodej bytu 2+1 39 m²;1;1;5;2+1;39.0;jesenik--;50.222474526135144;17.211538473864863;1448000;2024-04-12 17:49:45
3403;3176424524;Prodej bytu 3+kk 64 m²;1;1;6;3+kk;64.0;nova-bystrice-nova-bystrice-stara;49.01610352613514;15.12171947386486;3038000;2024-04-12 17:49:45
3404;3726976332;Prodej bytu 4+kk 68 m²;1;1;8;4+kk;68.0;plzen--;49.70338952613514;13.36153747386486;5234000;2024-04-12 17:49:45
3405;3295659340;Prodej bytu 4+kk 64 m²;1;1;8;4+kk;64.0;praha-hlubocepy-voskovcova;50.022847526135145;14.37588147386486;9653000;2024-04-12 17:49:45
3406;3093890380;Prodej bytu 1+1 25 m²;1;1;3;1+1;25.0;orlova-lutyne-osvobozeni;49.86325652613514;18.43847347386486;861000;2024-04-12 17:49:45
